country,within,between
Vietnam,.93375564,.066244408
Bolivia,.91866398,.081336096
Philippines,1.0115198,-.011519731
Ukraine,.83514142,.16485861
Sri_Lanka,.9699229,.030076822
Armenia,.98969078,.010309205
Georgia,1.0039574,-.0039573321
Macedonia,.98811507,.01188492
Ecuador,.99027556,.009724509
Peru,.92440879,.075591333
Mexico,.95313483,.046865392
Russia,.98356581,.016434001
Turkey,.97494543,.025054693
Poland,.96097213,.039028112
Chile,.96172088,.038279198
Hungary,.94354373,.056456208
Lithuania,.9885596,.011440283
Estonia,.96603566,.033964314
Slovakia,.95859659,.041403502
Czechia,.97775024,.02224995
Greece,.97765195,.022348147
Slovenia,.95774221,.042257898
Korea,.93283361,.067166358
Spain,.94946861,.050531317
Israel,.94725919,.052740879
Italy,.99654317,.0034568782
France,.97888511,.021114919
UK,.99061149,.0093884636
Germany,.94864249,.051357646
Belgium,.98185462,.018145293
Finland,.98220801,.017792001
Japan,.89487743,.10512293
Austria,.99198323,.0080168545
Canada,.97755867,.022440478
Netherlands,.96861506,.031384904
USA,.92945915,.070540771
Singapore,.99879777,.0012023894
Sweden,.9908213,.0091786589
Denmark,.99362522,.0063748066
Ireland,.95569068,.044309337
Norway,.99400413,.005995987
